LIPID NAME,Lipid n%,CHOL %,DSPE-PEG %,FRR,Org FR,Aq FR,TFR,CHIP,Size,PDI,Populations,Chain length 1,Unsatturation chain 1,Chain length 2,Unsatturation chain 2,Pressure at FRR1 TFR20,Pressure at FRR1 TFR 18,Pressure at FRR1 TFR 16,Chip Volume,Chip Surface Area,SMILES string
POPC,60,40,0,0.5,5,5,10,IG,55.71,0.11,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,75,20,5,0.2,1.6,6.4,8,ZZ,55.67,0.25,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,75,20,5,0.33,2.64,5.36,8,SR,55.31,0.12,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.5,4,4,8,IG,54.92,0.08,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,75,20,5,0.33,3.3,6.7,10,SR,54.7,0.11,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,80,20,0,0.2,1.6,6.4,8,SR,54.57,0.16,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.33,3.3,6.7,10,ZZ,54.25,0.13,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.2,2,8,10,SR,53.96,0.24,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.33,3.96,8.04,12,SR,53.75,0.15,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,100,0,0,0.2,2,8,10,SR,53.3,0.18,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.2,1.6,6.4,8,SR,51.93,0.21,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,75,20,5,0.33,3.96,8.04,12,SR,51.62,0.1,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,100,0,0,0.33,3.96,8.04,12,ZZ,50.97,0.18,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
